Company_ID,Month,GSTR_3B_Declared,GSTR_2A_Supplier_ITC,Bank_Inflow,Bank_Outflow,Is_Fraudulent_Flag,GSTR_Mismatch_Ratio,Bank_vs_GST_Ratio,Velocity_Ratio
COMP_1,2024-01,24519741.34,24176489.56,25569999.55,17150378.57,False,0.013998996777345335,1.0428331684024201,1.4909290751050124
COMP_1,2024-02,25439128.28,25039360.7,25193580.25,20560113.12,False,0.01571467290859551,0.9903476240499542,1.2253618877286658
COMP_1,2024-03,26385765.03,26121085.45,26448032.59,21137929.02,False,0.01003115049721194,1.0023598921588668,1.2512120422849238
COMP_1,2024-04,25523907.8,24860428.14,25395755.33,20209999.78,False,0.02599443882962154,0.9949791203210661,1.2565934858909984
COMP_1,2024-05,24156522.1,22964899.33,24874927.86,20695302.25,False,0.04932923560217318,1.029739618850182,1.2019600563234076
COMP_1,2024-06,25945190.44,24979710.19,25792944.51,20717443.98,False,0.037212301533601694,0.9941320172479721,1.2449867507745156
COMP_1,2024-07,26205840.53,25539775.59,26554197.04,21985642.32,False,0.02541666004711818,1.013293086691923,1.2077971362268056
COMP_1,2024-08,24645858.09,23798043.86,24464380.31,20179492.1,False,0.03439986657814926,0.9926365809890938,1.2123386939783931
COMP_1,2024-09,24525803.0,23539511.16,24325156.47,17930889.0,False,0.0402144565868037,0.9918189618500972,1.3566061957883853
COMP_1,2024-10,25621292.32,24783270.75,24505057.55,19159735.1,False,0.03270801330133687,0.95643331507019,1.2789872168437644
COMP_1,2024-11,26306996.03,25700313.8,26477569.95,22078846.35,False,0.0230616308037661,1.0064839755860182,1.199227909422545
COMP_1,2024-12,29545462.61,28114077.1,29825076.88,24610174.64,False,0.048446880960852826,1.0094638650168015,1.2119002040572189
COMP_2,2024-01,39217780.16,37974268.93,38527083.47,32009716.82,False,0.031707843353875255,0.9823881747722052,1.2036058451576814
COMP_2,2024-02,41239492.62,40704120.47,41719621.6,34822108.9,False,0.012982025626095071,1.0116424560414488,1.1980785116067882
COMP_2,2024-03,43929404.97,43360001.42,44592737.05,33300207.65,False,0.012961786083577745,1.0150999559509855,1.3391128421653298
COMP_2,2024-04,41399005.72,39555750.72,40150284.79,35395419.15,False,0.04452413694345121,0.9698369342866431,1.1343355897415446
COMP_2,2024-05,41675437.12,40716596.46,41333379.04,35033468.13,False,0.02300733300622898,0.9917923337188983,1.1798254659457985
COMP_2,2024-06,44900545.38,42858086.48,43968562.83,35750254.83,False,0.04548850983243905,0.9792434024550816,1.2298810682384982
COMP_2,2024-07,44094723.58,42663801.83,44796354.82,35196791.9,False,0.03245108788138592,1.0159119092498006,1.2727396768016328
COMP_2,2024-08,45338704.74,43937316.51,44977229.77,36132988.85,False,0.030909313312685607,0.9920272320951179,1.2447691142281712
COMP_2,2024-09,39066251.22,37880870.7,39880776.01,30823913.12,False,0.03034282745289723,1.0208498323889086,1.293825821559874
COMP_2,2024-10,42799924.31,41669350.74,42124320.37,35831478.78,False,0.026415317041480074,0.9842148332995497,1.1756232404756128
